iter	Passed	Remaining
0	4	461
1	9	458
2	14	468
3	19	464
4	24	457
5	29	463
6	33	451
7	38	443
8	43	440
9	48	435
10	53	431
11	58	430
12	63	426
13	68	421
14	73	418
15	78	411
16	83	406
17	88	402
18	92	395
19	97	390
20	101	383
21	105	375
22	110	369
23	115	365
24	119	359
25	124	354
26	129	348
27	133	343
28	138	339
29	143	334
30	148	329
31	152	323
32	157	320
33	162	314
34	167	310
35	172	307
36	177	303
37	182	298
38	188	294
39	193	290
40	197	284
41	203	280
42	207	275
43	210	268
44	215	263
45	220	259
46	225	254
47	231	250
48	236	245
49	240	240
50	245	235
51	249	230
52	254	225
53	259	221
54	264	216
55	268	211
56	273	206
57	278	201
58	283	197
59	289	192
60	294	188
61	299	183
62	304	178
63	309	173
64	313	169
65	318	164
66	324	159
67	329	155
68	334	150
69	338	145
70	344	140
71	349	135
72	354	130
73	359	126
74	363	121
75	367	116
76	373	111
77	377	106
78	380	101
79	385	96
80	390	91
81	394	86
82	399	81
83	404	77
84	409	72
85	413	67
86	418	62
87	423	57
88	428	52
89	433	48
90	437	43
91	441	38
92	446	33
93	451	28
94	456	24
95	461	19
96	465	14
97	470	9
98	475	4
99	479	0
